
## Per-Detector Timing

| Rank | Detector | Total ms | Calls | Avg ms | % Scan |
| 76 | FreeWithoutNil | 85 | 13355 | 0,01 | 0,1% |
| 77 | ConsecutiveSection | 76 | 13355 | 0,01 | 0,1% |
| 78 | GroupedDeclaration | 70 | 13355 | 0,01 | 0,1% |
| 79 | RoutineResultUnassigned | 69 | 13355 | 0,01 | 0,1% |
| 80 | DigitGrouping | 66 | 13355 | 0,00 | 0,1% |
| 81 | InlineAssembly | 59 | 735 | 0,08 | 0,0% |
| 82 | AvoidOut | 50 | 13355 | 0,00 | 0,0% |
| 83 | AssertWithSideEffect | 46 | 913 | 0,05 | 0,0% |
| 84 | CaseStatementSize | 44 | 13355 | 0,00 | 0,0% |
| 85 | DeadCode | 39 | 13355 | 0,00 | 0,0% |
| 86 | RedundantConditional | 38 | 13355 | 0,00 | 0,0% |
| 87 | PathTraversal | 36 | 1126 | 0,03 | 0,0% |
| 88 | PublicField | 21 | 13355 | 0,00 | 0,0% |
| 89 | EmptyFile | 21 | 13355 | 0,00 | 0,0% |
| 90 | PointerArithmeticOnString | 17 | 2344 | 0,01 | 0,0% |
| 91 | SuperfluousSemicolon | 16 | 13355 | 0,00 | 0,0% |
| 92 | EmptyBlock | 16 | 13355 | 0,00 | 0,0% |
| 93 | IfElseBegin | 15 | 13355 | 0,00 | 0,0% |
| 94 | EmptyArgumentList | 15 | 13355 | 0,00 | 0,0% |
| 95 | ClassPerFile | 14 | 13355 | 0,00 | 0,0% |
| 96 | TrailingCommaArgList | 14 | 13355 | 0,00 | 0,0% |
| 97 | EmptyFinallyBlock | 13 | 13355 | 0,00 | 0,0% |
| 98 | UnitLevelKeywordIndent | 13 | 13355 | 0,00 | 0,0% |
| 99 | FreeAndNilHint | 13 | 13355 | 0,00 | 0,0% |
| 100 | EmptyVisibilitySection | 13 | 13355 | 0,00 | 0,0% |
| 101 | RedundantParentheses | 13 | 13355 | 0,00 | 0,0% |
| 102 | ConsecutiveVisibility | 12 | 13355 | 0,00 | 0,0% |
| 103 | ConcatToFormat | 11 | 13355 | 0,00 | 0,0% |
| 104 | UnicodeToAnsiCast | 11 | 13355 | 0,00 | 0,0% |
| 105 | CharToCharPointerCast | 10 | 13355 | 0,00 | 0,0% |
| 106 | TwiceInheritedCalls | 10 | 13355 | 0,00 | 0,0% |
| 107 | VariantTypeMisuse | 8 | 1964 | 0,00 | 0,0% |
| 108 | BooleanParam | 7 | 13355 | 0,00 | 0,0% |
| 109 | GotoStatement | 7 | 165 | 0,04 | 0,0% |
| 110 | TabulationCharacter | 6 | 13355 | 0,00 | 0,0% |
| 111 | DebugOutput | 5 | 13355 | 0,00 | 0,0% |
| 112 | ConstStringParameter | 5 | 13355 | 0,00 | 0,0% |
| 113 | MultipleExit | 5 | 13355 | 0,00 | 0,0% |
| 114 | AttributeTestFixtureWithoutTests | 5 | 146 | 0,03 | 0,0% |
| 115 | ConstantReturn | 5 | 13355 | 0,00 | 0,0% |
| 116 | ReRaiseException | 4 | 13355 | 0,00 | 0,0% |
| 117 | BoolAlwaysTrue | 4 | 13355 | 0,00 | 0,0% |
| 118 | MethodName | 4 | 13355 | 0,00 | 0,0% |
| 119 | EmptyExcept | 4 | 13355 | 0,00 | 0,0% |
| 120 | TooLongLine | 3 | 13355 | 0,00 | 0,0% |
| 121 | ManagedResultUninit | 3 | 13355 | 0,00 | 0,0% |
| 122 | GodClass | 3 | 13355 | 0,00 | 0,0% |
| 123 | LeakInConstructor | 3 | 13355 | 0,00 | 0,0% |
| 124 | EmptyOnHandler | 2 | 12148 | 0,00 | 0,0% |
| 125 | NilDeref | 2 | 13355 | 0,00 | 0,0% |
| 126 | CastAndFree | 1 | 13355 | 0,00 | 0,0% |
| 127 | ExceptionTooGeneral | 1 | 13355 | 0,00 | 0,0% |
| 128 | MissingOverride | 1 | 13355 | 0,00 | 0,0% |
| 129 | MissingUnitHeader | 1 | 13355 | 0,00 | 0,0% |
| 130 | SynchronizeInDestructor | 1 | 13355 | 0,00 | 0,0% |
| 131 | LegacyInitializationSection | 1 | 13355 | 0,00 | 0,0% |
| 132 | IfThenShortCircuit | 1 | 13355 | 0,00 | 0,0% |
| 133 | MissingRaise | 1 | 13355 | 0,00 | 0,0% |
| 134 | AttributeIgnoreWithoutReason | 1 | 6 | 0,17 | 0,0% |
| 135 | NamingExt | 1 | 13355 | 0,00 | 0,0% |
| 136 | AbstractNotImpl | 1 | 13355 | 0,00 | 0,0% |
| 137 | UnsortedUses | 0 | 13355 | 0,00 | 0,0% |
